	SRR29920099	SRR29920100	SRR29920101	SRR29920102	SRR29920103	SRR29920104	SRR29920105	SRR29920106	SRR29920107	SRR29920108	SRR29920109	SRR29920110	SRR29920111	SRR29920112	SRR29920113	SRR29920114	SRR29920115	SRR29920116	SRR29920117	SRR29920118	SRR29920119	SRR29920120	SRR29920121	SRR29920122	SRR29920123	SRR29920124	SRR29920125	SRR29920126	SRR29920127	SRR29920128	SRR29920129	SRR29920130	SRR29920131	SRR29920132	SRR29920133	SRR29920134	SRR29920135	SRR29920136	SRR29920137	SRR29920138	SRR29920139	SRR29920140	SRR29920141	SRR29920142	SRR29920143	SRR29920144	SRR29920145	SRR29920146	SRR29920147	SRR29920148	SRR29920149	SRR29920150	SRR29920151	SRR29920152	SRR29920153	SRR29920154	SRR29920155	SRR29920156	SRR29920157	SRR29920158	SRR29920159	SRR29920160	SRR29920161	SRR29920162	SRR29920163	SRR29920164	SRR29920165	SRR29920166	SRR29920167	SRR29920168	SRR29920169	SRR29920170	SRR29920171	SRR29920172	SRR29920173	SRR29920174	SRR29920175	SRR29920176	SRR29920177	SRR29920178	SRR29920179	SRR29920180	SRR29920181	SRR29920182	SRR29920183	SRR29920184	SRR29920185	SRR29920186	SRR29920187	SRR29920188	SRR29920189	SRR29920190	SRR29920191	SRR29920192	SRR29920193	SRR29920194	SRR29920195	SRR29920196	SRR29920197	SRR29920198	SRR29920199	SRR29920200
ASV_0031	140	0	224	0	119	0	0	823	505	0	71	0	0	0	0	0	0	466	3346	560	1123	107	303	148	0	0	116	1139	0	0	49	75	0	0	35	0	372	0	0	0	68	0	145	0	429	887	487	640	10	22	79	0	60	293	254	30	0	184	30	0	307	52	0	211	171	453	262	0	0	266	199	105	201	0	0	270	345	78	0	0	0	0	181	0	0	0	61	0	0	432	0	0	0	124	657	0	0	0	0	94	0	0
ASV_0032	0	0	0	0	0	0	477	2571	149	984	232	166	521	0	9	39	95	423	121	153	14	372	75	0	44	197	172	73	175	40	0	0	0	95	0	59	0	77	115	492	26	157	61	27	847	495	610	350	0	19	16	12	230	74	0	0	0	0	0	0	218	27	146	890	326	0	360	0	14	399	37	39	16	13	31	0	414	0	49	0	0	0	1184	71	12	0	22	44	0	128	220	0	37	208	317	352	373	0	226	155	0	0
ASV_0033	0	49	0	248	0	386	0	0	0	0	0	0	0	0	39	755	635	655	2762	570	2121	0	845	338	18	18	0	0	24	29	0	0	0	1351	0	459	0	0	0	0	1573	87	0	0	0	101	33	99	15	40	78	0	0	0	63	0	62	0	0	211	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	54	116	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
ASV_0034	0	0	0	0	0	0	0	0	0	0	425	0	0	68	181	448	157	0	0	0	0	375	0	0	0	0	0	0	0	0	132	222	0	0	0	0	0	169	73	328	0	443	136	0	200	591	389	483	0	0	0	0	0	0	0	0	0	0	0	0	0	1055	311	895	732	0	542	686	747	386	228	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569	269	139	0	0	779	669	0	0	52	0	0
ASV_0035	139	434	335	164	1218	123	0	482	53	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	124	126	0	376	0	0	0	0	0	74	0	293	0	0	0	0	0	0	0	92	0	0	0	2585	87	261	237	53	0	92	50	0	0	0	0	51	0	68	0	0	0	115	63	0	0	0	85	303	716	1109	0	0	0	215	40	1180	61	0	0	0	0	0	0	0	0	0	144	0	699	1099
ASV_0036	31	0	141	0	73	0	0	23	0	45	0	39	8	21	0	14	0	457	1047	793	0	0	0	0	0	0	516	976	7	0	30	0	65	55	20	76	1201	23	9	0	0	0	0	92	0	0	0	0	19	0	0	0	158	1239	0	0	0	0	0	4	437	26	40	27	0	0	8	361	506	5	14	0	0	0	12	8	0	0	4	0	0	0	475	193	20	174	137	82	446	148	384	0	0	0	11	996	271	81	0	7	591	355
ASV_0037	0	0	0	0	0	0	128	115	239	327	0	466	89	826	7	57	77	33	58	35	0	0	0	0	18	44	20	114	165	18	11	18	0	26	0	20	112	291	1041	399	35	19	24	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	1310	807	45	0	0	27	696	2065	41	73	12	0	0	59	0	0	0	49	0	0	0	0	0	0	36	0	0	42	0	340	277	51	0	61	1457	337	68	34	0	0	0
ASV_0038	95	0	0	89	80	40	659	21	141	0	87	81	61	109	135	325	51	151	141	79	509	143	364	107	168	349	83	65	182	25	42	0	144	48	99	72	160	83	142	151	49	96	0	18	50	168	137	157	46	0	82	240	0	195	252	153	110	104	245	182	63	48	107	0	0	241	0	88	70	85	61	55	146	49	23	112	679	0	26	135	150	167	89	89	0	0	70	27	0	82	0	49	0	0	123	137	59	291	186	115	250	218
ASV_0039	0	0	0	0	0	0	48	212	181	353	174	336	230	577	229	259	100	742	629	522	34	93	66	102	0	0	124	0	0	0	0	97	0	0	0	0	0	95	141	334	161	186	50	0	78	359	134	148	0	27	50	0	0	57	91	0	0	0	0	0	0	678	113	168	119	55	218	197	405	180	100	138	174	0	0	81	119	192	0	0	0	0	0	133	50	0	57	0	0	0	223	110	60	0	0	374	299	28	0	0	0	0
ASV_0040	19	36	0	47	24	77	1136	0	0	44	21	55	30	0	82	92	109	0	183	69	248	34	108	49	20	14	97	1758	58	82	0	18	57	0	0	0	863	0	0	0	120	283	0	40	0	137	124	158	0	0	54	0	62	1207	105	0	0	0	0	0	1038	0	0	0	43	128	40	0	0	66	75	26	91	0	0	50	188	52	0	0	0	0	450	0	0	0	0	51	0	266	0	0	0	40	202	0	0	417	38	27	0	0
ASV_0041	319	0	586	51	329	482	20	52	62	255	0	274	201	0	73	95	70	0	0	54	203	0	106	61	0	0	66	79	0	0	367	7	0	0	63	0	0	0	0	0	43	100	60	0	307	35	30	57	0	0	39	0	0	0	9	0	664	0	0	1650	0	13	205	195	48	154	104	59	82	0	53	11	58	10	113	34	155	0	6	221	134	130	78	0	0	0	0	0	0	0	51	42	27	49	327	158	66	175	0	0	602	378
ASV_0042	0	0	0	0	0	0	0	0	0	0	499	0	0	95	181	435	139	0	0	0	0	341	0	0	0	0	0	0	0	0	130	268	0	0	0	0	0	130	86	318	0	438	0	0	0	699	440	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	839	850	406	215	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666	292	159	0	0	850	810	0	0	43	0	0
ASV_0043	0	0	0	0	0	0	0	13	0	4324	0	4442	1546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0044	170	43	104	106	132	101	212	0	271	75	0	154	60	209	0	99	0	0	0	0	115	103	112	0	50	134	159	63	0	0	107	0	0	0	118	0	322	83	270	287	0	119	63	0	77	0	0	34	0	0	0	81	121	281	501	0	47	0	65	269	73	75	155	52	35	419	88	108	79	110	79	59	275	0	0	124	1079	84	0	0	0	37	138	0	0	0	0	0	0	87	98	90	24	91	113	264	67	135	0	64	239	178
ASV_0045	0	0	0	0	0	0	90	320	272	0	126	0	0	212	161	427	105	256	277	145	80	110	157	167	141	174	75	0	0	0	0	56	0	62	27	79	0	103	138	124	144	245	93	0	119	345	156	107	61	82	0	0	90	13	75	0	0	0	0	0	0	292	217	130	103	83	142	0	0	252	143	189	297	0	0	97	74	234	0	0	0	0	0	0	0	0	0	0	0	0	104	101	0	0	0	143	123	110	76	174	0	0
ASV_0046	18	27	73	210	45	110	75	10	0	194	0	390	306	109	41	11	8	11	12	0	9	15	10	16	109	115	30	153	43	0	80	13	218	17	0	36	60	100	116	181	66	69	72	99	242	119	132	199	31	0	0	27	28	181	20	3	80	122	17	138	75	15	276	105	22	15	45	118	259	242	161	53	17	13	75	127	16	13	26	262	89	64	17	51	0	27	12	37	105	45	28	5	0	73	73	316	83	242	395	18	106	108
ASV_0047	19	0	114	26	59	47	34	0	29	0	0	518	0	113	121	106	0	0	65	45	0	71	0	0	22	64	317	112	0	0	0	0	27	0	0	0	1068	0	61	58	178	166	0	25	0	184	15	294	19	0	0	0	85	125	53	0	487	278	37	190	20	0	115	21	15	116	16	41	0	71	88	56	339	15	0	505	46	399	0	47	53	81	0	0	0	46	28	0	154	40	0	0	0	0	69	0	0	381	0	142	0	139
ASV_0048	0	0	0	0	0	0	0	997	1181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	333	174	217	0	0	0	0	0	300	0	0	713	328	371	874	0	0	0	0	0	0	0	0	0	377	0	0	136	45	149	413	0	0	0	0	0	0	352	0	0	0	281	236	0	0	0	0	0	0	0
ASV_0049	0	0	0	0	0	0	0	0	0	3205	0	2938	1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0050	0	11	85	0	0	44	28	0	0	0	0	490	0	77	145	132	0	0	69	23	0	53	0	13	0	50	290	118	0	0	0	0	0	0	0	0	971	0	47	44	151	150	0	0	0	208	14	291	0	0	0	0	72	128	53	31	451	259	0	199	0	0	91	23	0	101	0	52	0	79	78	44	309	0	0	446	61	340	0	30	53	55	0	0	0	0	0	0	131	30	0	16	0	0	55	0	0	335	0	146	42	135
