.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR29920172_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920173_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920173_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920174_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920174_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920175_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920175_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920176_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920176_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920177_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920177_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920178_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920178_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920179_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920179_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920180_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920180_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920181_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920181_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920182_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920182_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920183_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920183_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920184_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920184_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920185_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920185_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920186_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920186_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920187_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920187_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920188_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920188_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920189_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920189_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920190_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920190_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920191_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920191_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920192_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920192_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920193_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920193_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920194_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920194_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920195_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920195_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920196_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920196_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920197_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920197_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920198_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920198_2	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920199_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920199_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920200_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920200_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
