Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR29920119_1	(1.0, 4.641423268799983)	(2.0, 2.3504712846429383)	(3.0, 1.3895051240706873)	(4.0, 0.9306654257794323)	(5.0, 0.5519062408691983)	(6.0, 0.5908643284599652)	(7.0, 0.4545110218922809)	(8.0, 0.37226617031177295)	(9.0, 0.438278485396128)	('>10', 7.3046414232688)	('>50', 6.968086833248563)	('>100', 32.98343199108293)	('>500', 20.326382200482648)	('>1k', 20.697566201694677)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920119_2	(1.0, 2.856926423322909)	(2.0, 1.2856168904953087)	(3.0, 0.9771986970684038)	(4.0, 0.9220080729814841)	(5.0, 0.6979990693345742)	(6.0, 0.5064551386799702)	(7.0, 0.4014847360048481)	(8.0, 0.4501823454933068)	(9.0, 0.3408832664192107)	('>10', 4.28755397318385)	('>50', 1.3105067797894099)	('>100', 4.370880993864102)	('>500', 7.169370285800859)	('>1k', 61.35898795545792)	('>5k', 13.063945372103843)	('>10k+', 0.0)
SRR29920120_1	(1.0, 4.911648157281586)	(2.0, 2.394598547594347)	(3.0, 1.500025510637936)	(4.0, 0.8435517610843721)	(5.0, 0.8418510518886375)	(6.0, 0.8469531794758414)	(7.0, 0.5714382897668328)	(8.0, 0.6802836782938485)	(9.0, 0.5357233966564058)	('>10', 12.661779962244255)	('>50', 10.865831051548495)	('>100', 32.09068181431657)	('>500', 18.229901869079406)	('>1k', 13.025731730131465)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920120_2	(1.0, 2.904811306314733)	(2.0, 1.2925389887583123)	(3.0, 1.0357319002023844)	(4.0, 0.7959319036038028)	(5.0, 0.6802836782938485)	(6.0, 0.602051055290056)	(7.0, 0.4285787173251246)	(8.0, 0.462592901239817)	(9.0, 0.3673531862786782)	('>10', 5.156550281467371)	('>50', 1.3724723209578393)	('>100', 1.0017177162876918)	('>500', 7.001819758839437)	('>1k', 76.89756628514091)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920121_1	(1.0, 5.215950941866817)	(2.0, 2.6573155474105272)	(3.0, 1.469629420782745)	(4.0, 0.9445100354191263)	(5.0, 0.7841547868684912)	(6.0, 0.5920809177254225)	(7.0, 0.4687307265326261)	(8.0, 0.4229149412324446)	(9.0, 0.41234206770163356)	('>10', 12.735026167861987)	('>50', 7.8767907804542805)	('>100', 32.65431989991013)	('>500', 29.216373856808048)	('>1k', 4.549859909425717)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920121_2	(1.0, 3.148954166593244)	(2.0, 1.5753581560908563)	(3.0, 1.1418703413276003)	(4.0, 0.91631570600363)	(5.0, 0.7401011471567781)	(6.0, 0.5074979294789336)	(7.0, 0.43172566917478716)	(8.0, 0.366526282401452)	(9.0, 0.15859310296216675)	('>10', 3.9366332446386725)	('>50', 0.8564027559957005)	('>100', 6.648575305291724)	('>500', 10.467144795503005)	('>1k', 69.10430139738145)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920122_1	(1.0, 3.9951006335909027)	(2.0, 2.1049129757602336)	(3.0, 1.2747425564410033)	(4.0, 0.9496302792941284)	(5.0, 0.6729068061877184)	(6.0, 0.6532488545462793)	(7.0, 0.4657422388894769)	(8.0, 0.4234020353540699)	(9.0, 0.4491085875005671)	('>10', 8.849102538900063)	('>50', 9.11524096112262)	('>100', 11.046256672362432)	('>500', 13.81651570367906)	('>1k', 46.18408915637144)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920122_2	(1.0, 3.158881613766615)	(2.0, 1.3064977090925587)	(3.0, 1.0116284344709743)	(4.0, 0.7923666661626166)	(5.0, 0.7107105593443317)	(6.0, 0.6532488545462793)	(7.0, 0.4445721371217734)	(8.0, 0.3992076333338374)	(9.0, 0.3130150761367589)	('>10', 5.106530976395336)	('>50', 1.6391707368707567)	('>100', 3.276829323615248)	('>500', 7.583432883216645)	('>1k', 55.261526364337456)	('>5k', 18.34238103158882)	('>10k+', 0.0)
SRR29920123_1	(1.0, 3.283787686907063)	(2.0, 1.7840876269190606)	(3.0, 1.2630807171898955)	(4.0, 0.8842675909262592)	(5.0, 0.7720678086604901)	(6.0, 0.4665733519962674)	(7.0, 0.4665733519962674)	(8.0, 0.42658135039658734)	(9.0, 0.23995200959808036)	('>10', 7.21078006620898)	('>50', 5.230065098091493)	('>100', 9.294807705125642)	('>500', 10.860050212179786)	('>1k', 52.02403963651714)	('>5k', 5.793285787286987)	('>10k+', 0.0)
SRR29920123_2	(1.0, 2.631695883045613)	(2.0, 0.8598280343931213)	(3.0, 0.6698660267946411)	(4.0, 0.5332266879957341)	(5.0, 0.49990001999600076)	(6.0, 0.4199160167966407)	(7.0, 0.505454464662623)	(8.0, 0.3821457930636095)	(9.0, 0.39992001599680066)	('>10', 4.989002199560088)	('>50', 2.271767868648493)	('>100', 3.5903930325046103)	('>500', 0.6620898042613699)	('>1k', 30.53611499922238)	('>5k', 51.04867915305827)	('>10k+', 0.0)
SRR29920124_1	(1.0, 4.817955698309798)	(2.0, 2.5891615581973797)	(3.0, 1.4277600423040013)	(4.0, 1.0419318827239077)	(5.0, 0.7540296519712489)	(6.0, 0.6698133531796548)	(7.0, 0.5483852014336356)	(8.0, 0.36036741808496053)	(9.0, 0.61693335161284)	('>10', 12.434634442507688)	('>50', 8.043635793885505)	('>100', 33.418202471650446)	('>500', 21.161793219608686)	('>1k', 12.11539591453025)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920124_2	(1.0, 2.9593215691650836)	(2.0, 1.3474607806655046)	(3.0, 1.1104800329031121)	(4.0, 0.6972326132513367)	(5.0, 0.47983705125443116)	(6.0, 0.6580622417203628)	(7.0, 0.47983705125443116)	(8.0, 0.39170371530973974)	(9.0, 0.370160010967704)	('>10', 4.506551244638556)	('>50', 1.2025304060009008)	('>100', 4.032589749113771)	('>500', 9.022895082159854)	('>1k', 49.16273330852543)	('>5k', 23.57860514306978)	('>10k+', 0.0)
SRR29920125_1	(1.0, 5.262551060745816)	(2.0, 2.674924232441692)	(3.0, 1.512056924495981)	(4.0, 1.2452233495849256)	(5.0, 0.7000263539333246)	(6.0, 0.7115561997628146)	(7.0, 0.5995519831334827)	(8.0, 0.5534325998155225)	(9.0, 0.4743707998418764)	('>10', 14.858677032547106)	('>50', 10.488865463170379)	('>100', 37.259520358413496)	('>500', 14.87514824087495)	('>1k', 8.784095401238636)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920125_2	(1.0, 2.977994465674002)	(2.0, 1.3539333245486889)	(3.0, 0.938858874687047)	(4.0, 0.915799183028067)	(5.0, 0.6176703122941098)	(6.0, 0.6917907497694031)	(7.0, 0.47272367900909207)	(8.0, 0.46119383317960205)	(9.0, 0.4595467123468177)	('>10', 4.804651469231783)	('>50', 0.624258795625247)	('>100', 3.776848069574384)	('>500', 5.575504018974832)	('>1k', 66.20437475293187)	('>5k', 10.124851759125049)	('>10k+', 0.0)
SRR29920126_1	(1.0, 5.219487581992487)	(2.0, 2.489207826428211)	(3.0, 1.5095027190671078)	(4.0, 1.0259572798116277)	(5.0, 0.7428379211750855)	(6.0, 0.7989011605090542)	(7.0, 0.6082861467735605)	(8.0, 0.4933565061389247)	(9.0, 0.643325671357291)	('>10', 13.806974266973146)	('>50', 5.8642148343331275)	('>100', 45.28648315299658)	('>500', 19.294163816785336)	('>1k', 2.2173011156584628)	('>5k', 0.0)	('>10k+', 0.0)
